"","School_Dis_Name","School_Dis_Code","STATE","County_Name","State_County_Code","ENROLL","YRDATA","TOTAL_REVENUE","FEDERAL_REVENUE","STATE_REVENUE","LOCAL_REVENUE","TOTAL_EXPENDITURE","INSTRUCTION_EXPENDITURE","SUPPORT_SERVICES_EXPENDITURE","OTHER_EXPENDITURE","CAPITAL_OUTLAY_EXPENDITURE","SNAP"
"24","jacksonville city school district","01860","Alabama","Calhoun County","01_015",1531,2013,15232,1073,8687,5472,14539,9198,4208,970,74," 25,918 "
"25","piedmont city school district","02760","Alabama","Calhoun County","01_015",1216,2013,11167,1407,6708,3052,10388,5925,3346,879,183," 25,918 "
"26","piedmont city school district","02760","Alabama","Cleburne County","01_029",1216,2013,11167,1407,6708,3052,10388,5925,3346,879,183," 2,805 "
"27","oxford city school district","02635","Alabama","Calhoun County","01_015",4140,2013,40179,3003,21263,15913,41486,21958,12087,2768,3070," 25,918 "
"28","oxford city school district","02635","Alabama","Talladega County","01_121",4140,2013,40179,3003,21263,15913,41486,21958,12087,2768,3070," 17,721 "
"29","chambers county school district","00600","Alabama","Chambers County","01_017",3891,2013,34066,4646,21188,8232,32621,17920,10932,2955,465," 7,624 "
"30","lanett city school district","01980","Alabama","Chambers County","01_017",842,2013,8232,1621,4933,1678,8093,4546,2438,898,170," 7,624 "
"31","cherokee county school district","00630","Alabama","Cherokee County","01_019",4123,2013,38672,4679,22569,11424,38416,20040,12469,3851,1252," 5,434 "
"32","cherokee county school district","01110","Alabama","Cherokee County","13_057",4123,2013,38672,4679,22569,11424,38416,20040,12469,3851,1252," 16,631 "
"33","cherokee county school district","01500","Alabama","Cherokee County","45_021",4123,2013,38672,4679,22569,11424,38416,20040,12469,3851,1252," 13,744 "
"34","chilton county school district","00660","Alabama","Chilton County","01_021",7663,2013,62863,8101,41512,13250,60541,35890,18087,5733,488," 9,205 "
"35","choctaw county school district","00690","Alabama","Choctaw County","01_023",1721,2013,17899,2585,9279,6035,17531,7416,6788,1715,83," 3,519 "
"36","choctaw county school district","00990","Alabama","Choctaw County","28_019",1721,2013,17899,2585,9279,6035,17531,7416,6788,1715,83," 2,064 "
"37","clarke county school district","00720","Alabama","Clarke County","01_025",3224,2013,28647,4303,17462,6882,28661,15049,9925,3059,174," 6,970 "
"38","clarke county school district","01170","Alabama","Clarke County","13_059",3224,2013,28647,4303,17462,6882,28661,15049,9925,3059,174," 22,176 "
"39","thomasville city school district","03300","Alabama","Clarke County","01_025",1491,2013,13851,1488,8329,4034,13574,6949,4919,1178,430," 6,970 "
"40","thomasville city school district","04950","Alabama","Thomas County","13_275",1491,2013,13851,1488,8329,4034,13574,6949,4919,1178,430," 11,925 "
"41","clay county school district","00750","Alabama","Clay County","01_027",2058,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172," 2,319 "
"42","clay county school district","00300","Alabama","Clay County","12_019",2058,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172," 24,891 "
"43","clay county school district","01200","Alabama","Clay County","13_061",2058,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172," 1,181 "
"44","clay county school district","01230","Alabama","Clay County","21_051",2058,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172," 9,169 "
"45","clay county school district","01080","Alabama","Clay County","28_025",2058,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172," 6,075 "
"46","clay county school district","00660","Alabama","Clay County","47_027",2058,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172," 2,182 "
"47","clay county school district","00240","Alabama","Clay County","54_015",2058,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172," 3,262 "
"48","cleburne county school district","00780","Alabama","Cleburne County","01_029",2665,2013,23412,2767,16097,4548,23311,12885,7367,2309,163," 2,805 "
"49","coffee county school district","00810","Alabama","Coffee County","01_031",1977,2013,18474,2465,11432,4577,18972,9623,6462,1478,1203," 7,215 "
"50","coffee county school district","01350","Alabama","Coffee County","13_069",1977,2013,18474,2465,11432,4577,18972,9623,6462,1478,1203," 10,640 "
"51","coffee county school district","00780","Alabama","Coffee County","47_031",1977,2013,18474,2465,11432,4577,18972,9623,6462,1478,1203," 11,499 "
"52","elba city school district","01260","Alabama","Coffee County","01_031",742,2013,7538,1238,4588,1712,7487,3758,2771,858,89," 7,215 "
"53","enterprise city school district","01320","Alabama","Coffee County","01_031",6538,2013,61277,9463,35392,16422,60155,31531,20265,4672,2925," 7,215 "
"54","enterprise city school district","01320","Alabama","Dale County","01_045",6538,2013,61277,9463,35392,16422,60155,31531,20265,4672,2925," 10,858 "
"55","colbert county school district","00840","Alabama","Colbert County","01_033",2769,2013,29125,3328,15472,10325,30091,15399,10616,2823,1185," 9,869 "
"56","sheffield city school district","03000","Alabama","Colbert County","01_033",1108,2013,12575,1982,6393,4200,12044,6541,3975,1247,220," 9,869 "
"57","tuscumbia city school district","03420","Alabama","Colbert County","01_033",1483,2013,14455,1250,8234,4971,13737,7202,4924,1202,195," 9,869 "
"58","muscle shoals city school district","02520","Alabama","Colbert County","01_033",2856,2013,27562,1549,15092,10921,34269,14849,8546,2605,8006," 9,869 "
"59","conecuh county school district","00870","Alabama","Conecuh County","01_035",1644,2013,20766,2936,8930,8900,20086,8939,7278,1739,1827," 3,914 "
"60","coosa county school district","00900","Alabama","Coosa County","01_037",1149,2013,12980,3190,7007,2783,12630,6087,5136,856,260," 1,978 "
"61","andalusia city school district","00060","Alabama","Covington County","01_039",1756,2013,15871,2009,9222,4640,15822,8503,4441,1069,1734," 8,074 "
"62","covington county school district","00930","Alabama","Covington County","01_039",3112,2013,30346,3967,17579,8800,29155,15244,9246,3009,1383," 8,074 "
"63","covington county school district","01290","Alabama","Covington County","28_031",3112,2013,30346,3967,17579,8800,29155,15244,9246,3009,1383," 4,256 "
"64","opp city school district","02610","Alabama","Covington County","01_039",1366,2013,12668,1239,7863,3566,12108,6250,4027,1159,196," 8,074 "
"65","crenshaw county school district","00960","Alabama","Crenshaw County","01_041",2240,2013,19618,2742,12272,4604,19523,10836,6443,2119,0," 2,997 "
"66","cullman city school district","00990","Alabama","Cullman County","01_043",3111,2013,28404,2852,13984,11568,31312,17217,7831,1807,3962," 12,811 "
"67","cullman county school district","01020","Alabama","Cullman County","01_043",9604,2013,93295,8754,56321,28220,91099,47732,27283,6736,8269," 12,811 "
"68","dale county school district","01050","Alabama","Dale County","01_045",3045,2013,26170,2495,16991,6684,27179,14278,8349,2280,1814," 10,858 "
"69","ozark city school district","02640","Alabama","Dale County","01_045",2284,2013,23491,3033,14299,6159,29812,11663,7855,1567,8520," 10,858 "
"70","daleville city school district","01080","Alabama","Dale County","01_045",1181,2013,11407,1947,6784,2676,11527,5666,4022,939,479," 10,858 "
"71","dallas county school district","01110","Alabama","Dallas County","01_047",3723,2013,39464,10002,23072,6390,38788,18727,16203,3338,254," 17,240 "
"72","selma city school district","02970","Alabama","Dallas County","01_047",4040,2013,34479,6853,21332,6294,35508,18823,10359,3532,2475," 17,240 "
"73","de kalb county school district",NA,"Alabama",NA,NA,8719,2013,79379,11371,49986,18022,86749,43559,23440,6197,13176,NA
"74","fort payne city school district","01560","Alabama","DeKalb County","01_049",3076,2013,27599,3381,16373,7845,27147,15443,6807,2627,1796," 15,364 "
"75","elmore county school district","01290","Alabama","Elmore County","01_051",11280,2013,91163,8862,57867,24434,91460,52284,26350,7895,2400," 12,839 "
"76","tallassee city school district","03240","Alabama","Elmore County","01_051",1916,2013,16509,1630,10118,4761,15823,9622,4240,1541,291," 12,839 "
"77","tallassee city school district","03240","Alabama","Tallapoosa County","01_123",1916,2013,16509,1630,10118,4761,15823,9622,4240,1541,291," 9,065 "
"78","brewton city school district","00450","Alabama","Escambia County","01_053",1162,2013,14915,941,9446,4528,12554,6826,3723,673,1260," 10,047 "
"79","escambia county school district","01350","Alabama","Escambia County","01_053",4603,2013,45879,6434,25529,13916,46293,22895,15800,4195,2666," 10,047 "
"80","escambia county school district","00510","Alabama","Escambia County","12_033",4603,2013,45879,6434,25529,13916,46293,22895,15800,4195,2666," 61,256 "
"81","attalla city school district","00180","Alabama","Etowah County","01_055",1776,2013,15170,1954,10367,2849,14402,8045,4484,1422,76," 18,609 "
"82","etowah county board of education",NA,"Alabama",NA,NA,9138,2013,76206,7362,51514,17330,74374,41564,22843,6595,1469,NA
"83","gadsden city school district","01620","Alabama","Etowah County","01_055",5491,2013,48207,7054,27848,13305,48647,26984,15519,4729,689," 18,609 "
"84","fayette county school district","01470","Alabama","Fayette County","01_057",2428,2013,21576,2878,13754,4944,22593,11648,7780,2535,505," 3,894 "
"85","fayette county school district","02130","Alabama","Fayette County","13_113",2428,2013,21576,2878,13754,4944,22593,11648,7780,2535,505," 7,195 "
"86","fayette county school district","01860","Alabama","Fayette County","21_067",2428,2013,21576,2878,13754,4944,22593,11648,7780,2535,505," 39,099 "
"87","fayette county school district","01170","Alabama","Fayette County","47_047",2428,2013,21576,2878,13754,4944,22593,11648,7780,2535,505," 7,659 "
"88","fayette county school district","00300","Alabama","Fayette County","54_019",2428,2013,21576,2878,13754,4944,22593,11648,7780,2535,505," 10,176 "
"89","franklin county school district","01590","Alabama","Franklin County","01_059",3238,2013,34874,4929,20127,9818,39095,16851,9029,4459,8071," 6,764 "
"90","franklin county school district","00570","Alabama","Franklin County","12_037",3238,2013,34874,4929,20127,9818,39095,16851,9029,4459,8071," 2,011 "
"91","franklin county school district","02250","Alabama","Franklin County","13_119",3238,2013,34874,4929,20127,9818,39095,16851,9029,4459,8071," 4,795 "
"92","franklin county school district","02010","Alabama","Franklin County","21_073",3238,2013,34874,4929,20127,9818,39095,16851,9029,4459,8071," 8,637 "
"93","franklin county school district","01530","Alabama","Franklin County","28_037",3238,2013,34874,4929,20127,9818,39095,16851,9029,4459,8071," 1,609 "
"94","franklin county school district","01290","Alabama","Franklin County","47_051",3238,2013,34874,4929,20127,9818,39095,16851,9029,4459,8071," 6,391 "
"95","russellville city schools",NA,"Alabama",NA,NA,2480,2013,24868,2731,14267,7870,23206,12760,6789,2507,998,NA
"96","geneva county school district","01660","Alabama","Geneva County","01_061",2739,2013,23200,3116,15976,4108,21863,11826,7414,2325,149," 6,283 "
"97","geneva city school district","01640","Alabama","Geneva County","01_061",1280,2013,11156,1262,7289,2605,10924,6338,3213,820,460," 6,283 "
"98","geneva city school district","11970","Alabama","Ontario County","36_069",1280,2013,11156,1262,7289,2605,10924,6338,3213,820,460," 10,244 "
"99","geneva city school district","11970","Alabama","Seneca County","36_099",1280,2013,11156,1262,7289,2605,10924,6338,3213,820,460," 3,540 "
