Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
05,029,"Conway County, AR"," 4,127 "
05,031,"Craighead County, AR"," 16,414 "
05,033,"Crawford County, AR"," 10,471 "
05,035,"Crittenden County, AR"," 15,111 "
05,037,"Cross County, AR"," 3,212 "
05,039,"Dallas County, AR"," 1,435 "
05,041,"Desha County, AR"," 3,738 "
05,043,"Drew County, AR"," 3,857 "
05,045,"Faulkner County, AR"," 14,280 "
05,047,"Franklin County, AR"," 3,216 "
05,049,"Fulton County, AR"," 1,973 "
05,051,"Garland County, AR"," 16,006 "
05,053,"Grant County, AR"," 2,205 "
05,055,"Greene County, AR"," 7,511 "
05,057,"Hempstead County, AR"," 4,653 "
05,059,"Hot Spring County, AR"," 5,447 "
05,061,"Howard County, AR"," 2,671 "
05,063,"Independence County, AR"," 5,861 "
05,065,"Izard County, AR"," 2,283 "
05,067,"Jackson County, AR"," 3,726 "
05,069,"Jefferson County, AR"," 19,410 "
05,071,"Johnson County, AR"," 4,846 "
05,073,"Lafayette County, AR"," 1,690 "
05,075,"Lawrence County, AR"," 3,225 "
05,077,"Lee County, AR"," 2,866 "
05,079,"Lincoln County, AR"," 2,520 "
05,081,"Little River County, AR"," 2,257 "
05,083,"Logan County, AR"," 4,707 "
05,085,"Lonoke County, AR"," 8,862 "
05,087,"Madison County, AR"," 2,373 "
05,089,"Marion County, AR"," 2,889 "
05,091,"Miller County, AR"," 8,499 "
05,093,"Mississippi County, AR"," 11,627 "
05,095,"Monroe County, AR"," 2,014 "
05,097,"Montgomery County, AR"," 1,497 "
05,099,"Nevada County, AR"," 1,792 "
05,101,"Newton County, AR"," 1,329 "
05,103,"Ouachita County, AR"," 5,792 "
05,105,"Perry County, AR"," 1,738 "
05,107,"Phillips County, AR"," 8,175 "
05,109,"Pike County, AR"," 1,955 "
05,111,"Poinsett County, AR"," 6,002 "
05,113,"Polk County, AR"," 4,113 "
05,115,"Pope County, AR"," 8,202 "
05,117,"Prairie County, AR"," 1,323 "
05,119,"Pulaski County, AR"," 68,166 "
05,121,"Randolph County, AR"," 3,199 "
05,123,"St. Francis County, AR"," 7,584 "
05,125,"Saline County, AR"," 11,118 "
05,127,"Scott County, AR"," 2,354 "
05,129,"Searcy County, AR"," 1,387 "
05,131,"Sebastian County, AR"," 21,425 "
05,133,"Sevier County, AR"," 3,525 "
05,135,"Sharp County, AR"," 3,584 "
05,137,"Stone County, AR"," 2,242 "
05,139,"Union County, AR"," 8,225 "
05,141,"Van Buren County, AR"," 2,855 "
05,143,"Washington County, AR"," 27,925 "
05,145,"White County, AR"," 11,503 "
05,147,"Woodruff County, AR"," 1,824 "
05,149,"Yell County, AR"," 3,514 "
06,000,California," 4,289,489 "
06,001,"Alameda County, CA"," 126,842 "
06,003,"Alpine County, CA", 175 
06,005,"Amador County, CA"," 3,357 "
06,007,"Butte County, CA"," 30,911 "
06,009,"Calaveras County, CA"," 5,089 "
06,011,"Colusa County, CA"," 1,744 "
06,013,"Contra Costa County, CA"," 69,003 "
06,015,"Del Norte County, CA"," 5,255 "
06,017,"El Dorado County, CA"," 12,021 "
06,019,"Fresno County, CA"," 222,504 "
06,021,"Glenn County, CA"," 3,625 "
06,023,"Humboldt County, CA"," 16,905 "
06,025,"Imperial County, CA"," 37,660 "
06,027,"Inyo County, CA"," 2,176 "
06,029,"Kern County, CA"," 147,743 "
06,031,"Kings County, CA"," 24,007 "
