leaid,year,fips,district_id,district_name,est_population_total,est_population_5_17,est_population_5_17_poverty,est_population_5_17_poverty_pct,est_population_5_17_pct
409090,2013,4,9090,Wellton Elementary District,4150,359,90,0.2506964,0.086506024
409120,2013,4,9120,Wenden Elementary District,808,105,41,0.3904762,0.1299505
409160,2013,4,9160,Whiteriver Unified District,11158,2718,1343,0.49411333,0.24359204
409190,2013,4,9190,Wickenburg Unified District,11756,1391,425,0.30553558,0.11832256
409250,2013,4,9250,Willcox Unified District,8411,1536,367,0.2389323,0.182618
409310,2013,4,9310,Williams Unified District,5834,909,249,0.2739274,0.15581076
409360,2013,4,9360,Williamson Valley Elementary School District,619,60,15,0.25,0.09693053
409390,2013,4,9390,Wilson Elementary District,4046,603,305,0.5058043,0.14903608
409430,2013,4,9430,Window Rock Unified District,11915,2586,1112,0.43000773,0.21703735
409460,2013,4,9460,Winslow Unified District,11540,2201,769,0.34938663,0.1907279
409510,2013,4,9510,Yarnell Elementary District,1205,67,7,0.104477614,0.05560166
409540,2013,4,9540,Young Elementary School District,876,95,27,0.28421053,0.10844749
409570,2013,4,9570,Yucca Elementary District,696,50,10,0.2,0.07183908
409600,2013,4,9600,Yuma Elementary District,102031,10981,2555,0.23267461,0.10762415
409630,2013,4,9630,Yuma Union High School District,194655,12220,3471,0.28404257,0.062777735
502250,2013,5,2250,Alma School District,16010,3221,835,0.25923628,0.20118676
502280,2013,5,2280,Alpena School District,2998,552,125,0.22644928,0.18412274
502430,2013,5,2430,Arkadelphia School District,16081,2086,565,0.2708533,0.1297183
502550,2013,5,2550,Armorel School District,1414,336,57,0.16964285,0.23762377
502580,2013,5,2580,Ashdown School District,9413,1622,411,0.25339088,0.17231488
502610,2013,5,2610,Atkins Public Schools,6692,1177,249,0.2115548,0.17588165
502670,2013,5,2670,Augusta School District,3464,529,213,0.4026465,0.15271363
502700,2013,5,2700,Bald Knob School District,7439,1368,392,0.28654972,0.18389569
502730,2013,5,2730,Barton-Lexa School District,3032,592,180,0.30405405,0.19525066
500019,2013,5,19,Batesville School District,19761,3343,782,0.23392163,0.1691716
502790,2013,5,2790,Bauxite School District,6509,1247,187,0.1499599,0.19158089
502820,2013,5,2820,Bay School District,3080,553,126,0.2278481,0.17954545
500032,2013,5,32,Bearden School District,3356,522,181,0.3467433,0.15554231
502880,2013,5,2880,Beebe School District,17753,3473,697,0.20069104,0.19562891
502960,2013,5,2960,Benton School District,30568,5600,781,0.13946429,0.18319811
503060,2013,5,3060,Bentonville Public Schools,80013,16308,1662,0.10191317,0.20381688
503090,2013,5,3090,Bergman School District,5033,929,243,0.2615716,0.18458176
503150,2013,5,3150,Berryville Public Schools,11036,2165,768,0.35473442,0.19617616
503240,2013,5,3240,Bismarck Public Schools,6313,1056,347,0.3285985,0.16727388
503300,2013,5,3300,Blevins School District,3607,650,202,0.31076923,0.18020515
503320,2013,5,3320,Blytheville School District,16485,3239,1271,0.39240506,0.19648165
503450,2013,5,3450,Booneville School District,7605,1319,313,0.23730099,0.17343853
503480,2013,5,3480,Bradford School District,3004,543,182,0.33517495,0.18075898
503630,2013,5,3630,Brinkley School District,4227,686,294,0.42857143,0.16229004
503640,2013,5,3640,Brookland School District,9087,1703,233,0.13681738,0.1874106
503690,2013,5,3690,Bryant Public Schools,49583,9539,1238,0.12978299,0.19238448
503710,2013,5,3710,Buffalo Island Central School District,5002,885,178,0.20112994,0.17692924
503750,2013,5,3750,Cabot Public Schools,49877,10453,1403,0.13421984,0.20957555
503770,2013,5,3770,Caddo Hills School District,3667,630,218,0.34603176,0.17180257
503840,2013,5,3840,Calico Rock School District,3510,397,132,0.3324937,0.11310542
506060,2013,5,6060,Camden Fairview School District,17107,2704,1194,0.44156805,0.15806395
503960,2013,5,3960,Carlisle School District,4346,772,140,0.18134715,0.17763461
504050,2013,5,4050,Cave City School District,8337,1533,443,0.28897586,0.18387909
500070,2013,5,70,Cedar Ridge School District,5517,999,193,0.1931932,0.18107668
504080,2013,5,4080,Cedarville School District,5194,1021,191,0.1870715,0.19657297
506690,2013,5,6690,Centerpoint School District,5514,1037,374,0.36065573,0.18806674
504200,2013,5,4200,Charleston School District,4931,894,201,0.22483222,0.18130197
504350,2013,5,4350,Clarendon School District,3495,534,190,0.35580525,0.1527897
504380,2013,5,4380,Clarksville School District,14258,2609,680,0.26063627,0.182985
500067,2013,5,67,Cleveland County School District,5460,1006,252,0.250497,0.18424909
504410,2013,5,4410,Clinton School District,8939,1372,415,0.30247813,0.15348473
504560,2013,5,4560,Concord Public Schools,4423,729,171,0.2345679,0.16482025
504590,2013,5,4590,Conway Public Schools,74024,11723,1980,0.16889875,0.15836756
500009,2013,5,9,Corning Public Schools,6866,1169,333,0.28485885,0.17025925
500405,2013,5,405,Cossatot River School District,5264,1039,393,0.3782483,0.19737843
504680,2013,5,4680,Cotter School District,4477,676,165,0.24408284,0.15099397
504740,2013,5,4740,County Line School District,3409,611,148,0.24222586,0.17923145
507740,2013,5,7740,Cross County School District,3639,601,207,0.34442595,0.16515526
504800,2013,5,4800,Crossett School District,11714,1948,514,0.26386037,0.16629674
504860,2013,5,4860,Cutter-Morning Star School District,3608,665,215,0.32330826,0.18431264
504890,2013,5,4890,Danville School District,4000,862,255,0.29582366,0.2155
504930,2013,5,4930,Dardanelle Public Schools,10280,1835,494,0.2692098,0.17850195
500049,2013,5,49,De Queen School District,13513,2838,850,0.2995067,0.21001998
500001,2013,5,1,DeWitt School District,8655,1351,336,0.24870466,0.15609474
504980,2013,5,4980,Decatur School District,3611,695,170,0.24460432,0.19246747
500072,2013,5,72,Deer/Mount Judea School District,2317,343,122,0.35568514,0.14803626
505170,2013,5,5170,Dermott School District,3625,489,177,0.36196318,0.13489655
505190,2013,5,5190,Des Arc Public Schools,3446,557,163,0.29263914,0.16163668
505340,2013,5,5340,Dierks School District,2878,484,167,0.34504133,0.16817234
505410,2013,5,5410,Dollarway School District,12411,1667,651,0.39052188,0.13431633
505430,2013,5,5430,Dover School District,8071,1412,254,0.17988668,0.17494734
505470,2013,5,5470,Drew Central School District,6448,1006,223,0.22166999,0.15601736
505500,2013,5,5500,Dumas School District,11447,1518,626,0.41238472,0.13261117
505550,2013,5,5550,Earle School District,3107,683,257,0.3762811,0.21982619
505580,2013,5,5580,East End School District,3992,692,176,0.25433525,0.1733467
500048,2013,5,48,East Poinsett County School District,3538,617,237,0.38411668,0.17439231
