,STATE,Abbe,ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,,Alabama,AL
45667,Alabama,AL,1181,DALEVILLE CITY SCHOOL DISTRICT,2013,11407,1947,6784,2676,11527,5666,4022,939,479,,Tennessee,TN
45668,Alabama,AL,3723,DALLAS COUNTY SCHOOL DISTRICT,2013,39464,10002,23072,6390,38788,18727,16203,3338,254,,Texas,TX
45669,Alabama,AL,4040,SELMA CITY SCHOOL DISTRICT,2013,34479,6853,21332,6294,35508,18823,10359,3532,2475,,Utah,UT
45670,Alabama,AL,8719,DE KALB COUNTY SCHOOL DISTRICT,2013,79379,11371,49986,18022,86749,43559,23440,6197,13176,,Vermont,VT
45671,Alabama,AL,3076,FORT PAYNE CITY SCHOOL DISTRICT,2013,27599,3381,16373,7845,27147,15443,6807,2627,1796,,Virginia,VA
45672,Alabama,AL,11280,ELMORE COUNTY SCHOOL DISTRICT,2013,91163,8862,57867,24434,91460,52284,26350,7895,2400,,Washington,WA
45673,Alabama,AL,1916,TALLASSEE CITY SCHOOL DISTRICT,2013,16509,1630,10118,4761,15823,9622,4240,1541,291,,West Virginia,WV
45674,Alabama,AL,1162,BREWTON CITY SCHOOL DISTRICT,2013,14915,941,9446,4528,12554,6826,3723,673,1260,,Wisconsin,WI
45675,Alabama,AL,4603,ESCAMBIA COUNTY SCHOOL DISTRICT,2013,45879,6434,25529,13916,46293,22895,15800,4195,2666,,Wyoming,WY
45676,Alabama,AL,1776,ATTALLA CITY SCHOOL DISTRICT,2013,15170,1954,10367,2849,14402,8045,4484,1422,76,,,
45677,Alabama,AL,9138,ETOWAH COUNTY BOARD OF EDUCATION,2013,76206,7362,51514,17330,74374,41564,22843,6595,1469,,,
45678,Alabama,AL,5491,GADSDEN CITY SCHOOL DISTRICT,2013,48207,7054,27848,13305,48647,26984,15519,4729,689,,,
45679,Alabama,AL,2428,FAYETTE COUNTY SCHOOL DISTRICT,2013,21576,2878,13754,4944,22593,11648,7780,2535,505,,,
45680,Alabama,AL,3238,FRANKLIN COUNTY SCHOOL DISTRICT,2013,34874,4929,20127,9818,39095,16851,9029,4459,8071,,,
45681,Alabama,AL,2480,RUSSELLVILLE CITY SCHOOLS,2013,24868,2731,14267,7870,23206,12760,6789,2507,998,,,
45682,Alabama,AL,2739,GENEVA COUNTY SCHOOL DISTRICT,2013,23200,3116,15976,4108,21863,11826,7414,2325,149,,,
45683,Alabama,AL,1280,GENEVA CITY SCHOOL DISTRICT,2013,11156,1262,7289,2605,10924,6338,3213,820,460,,,
45684,Alabama,AL,1249,GREENE COUNTY SCHOOL DISTRICT,2013,14307,2652,7862,3793,23230,6197,5933,1142,9338,,,
45685,Alabama,AL,2857,HALE COUNTY SCHOOL DISTRICT,2013,25545,3494,16800,5251,25258,14314,8341,2142,361,,,
45686,Alabama,AL,2669,HENRY COUNTY SCHOOL DISTRICT,2013,23010,2722,15425,4863,22576,12432,6922,2161,367,,,
